model_name,criterion,optimizer,learning_rate,num_epochs,input_size,hidden_layers,qtd_hidden_layers,activation_function,accuracy,average_loss
MLP,CrossEntropyLoss,Adam,0.001,100,16,[20],1,ReLU,0.8806463459419758,0.49329806864261627
MLP,CrossEntropyLoss,Adam,0.01,100,16,[2],1,ReLU,0.8821153139919207,0.3500804007053375
MLP,CrossEntropyLoss,Adam,0.01,100,16,[4],1,ReLU,0.9144326110907087,0.25115111470222473
MLP,CrossEntropyLoss,Adam,0.01,100,16,[6],1,ReLU,0.8428204186558942,0.4169570058584213
MLP,CrossEntropyLoss,Adam,0.01,100,16,[8],1,ReLU,0.9074550128534704,0.2528730481863022
MLP,CrossEntropyLoss,Adam,0.01,100,16,[10],1,ReLU,0.9136981270657363,0.2468947246670723
MLP,CrossEntropyLoss,Adam,0.01,100,16,[12],1,ReLU,0.9173705471905986,0.22308825701475143
MLP,CrossEntropyLoss,Adam,0.01,100,16,[14],1,ReLU,0.9144326110907087,0.2323649823665619
MLP,CrossEntropyLoss,Adam,0.01,100,16,[16],1,ReLU,0.9159015791406537,0.22245721518993378
MLP,CrossEntropyLoss,Adam,0.01,100,16,[18],1,ReLU,0.9170033051781123,0.22968198359012604
MLP,CrossEntropyLoss,Adam,0.01,100,16,[20],1,ReLU,0.9103929489533603,0.23654942959547043
MLP,CrossEntropyLoss,Adam,0.1,100,16,[2],1,ReLU,0.9107601909658465,0.25751200318336487
MLP,CrossEntropyLoss,Adam,0.1,100,16,[4],1,ReLU,0.9170033051781123,0.22892967611551285
MLP,CrossEntropyLoss,Adam,0.1,100,16,[6],1,ReLU,0.9037825927286082,0.27600668370723724
MLP,CrossEntropyLoss,Adam,0.1,100,16,[8],1,ReLU,0.9155343371281675,0.2245907485485077
MLP,CrossEntropyLoss,Adam,0.1,100,16,[10],1,ReLU,0.9159015791406537,0.23404473066329956
MLP,CrossEntropyLoss,Adam,0.1,100,16,[12],1,ReLU,0.9206757253029747,0.2217864990234375
MLP,CrossEntropyLoss,Adam,0.1,100,16,[14],1,ReLU,0.8960705104663974,0.28413058817386627
MLP,CrossEntropyLoss,Adam,0.1,100,16,[16],1,ReLU,0.9181050312155711,0.21663913130760193
MLP,CrossEntropyLoss,Adam,0.1,100,16,[18],1,ReLU,0.9125964010282777,0.22800570726394653
MLP,CrossEntropyLoss,Adam,0.1,100,16,[20],1,ReLU,0.9181050312155711,0.2236485704779625
MLP,CrossEntropyLoss,Adam,0.15,100,16,[2],1,ReLU,0.910025706940874,0.2567046284675598
MLP,CrossEntropyLoss,Adam,0.15,100,16,[4],1,ReLU,0.9081894968784429,0.23018913716077805
MLP,CrossEntropyLoss,Adam,0.15,100,16,[6],1,ReLU,0.9008446566287184,0.27531446516513824
MLP,CrossEntropyLoss,Adam,0.15,100,16,[8],1,ReLU,0.9177377892030848,0.22311118245124817
MLP,CrossEntropyLoss,Adam,0.15,100,16,[10],1,ReLU,0.9155343371281675,0.23139391839504242
MLP,CrossEntropyLoss,Adam,0.15,100,16,[12],1,ReLU,0.9177377892030848,0.22215081006288528
MLP,CrossEntropyLoss,Adam,0.15,100,16,[14],1,ReLU,0.9004774146162321,0.25953535735607147
MLP,CrossEntropyLoss,Adam,0.15,100,16,[16],1,ReLU,0.9173705471905986,0.21886147558689117
MLP,CrossEntropyLoss,Adam,0.15,100,16,[18],1,ReLU,0.914799853103195,0.23466191440820694
MLP,CrossEntropyLoss,Adam,0.15,100,16,[20],1,ReLU,0.910025706940874,0.227566659450531
MLP,CrossEntropyLoss,Adam,0.001,200,16,[2],1,ReLU,0.5067939772309952,1.3037840127944946
MLP,CrossEntropyLoss,Adam,0.001,200,16,[4],1,ReLU,0.2662504590525156,1.7534787058830261
MLP,CrossEntropyLoss,Adam,0.001,200,16,[6],1,ReLU,0.237972824091076,1.7645066976547241
MLP,CrossEntropyLoss,Adam,0.001,200,16,[8],1,ReLU,0.8857877341167829,0.37816911935806274
MLP,CrossEntropyLoss,Adam,0.001,200,16,[10],1,ReLU,0.8901946382666177,0.34468914568424225
MLP,CrossEntropyLoss,Adam,0.001,200,16,[12],1,ReLU,0.8990084465662872,0.3197411894798279
MLP,CrossEntropyLoss,Adam,0.001,200,16,[14],1,ReLU,0.8931325743665075,0.3133186101913452
MLP,CrossEntropyLoss,Adam,0.001,200,16,[16],1,ReLU,0.897172236503856,0.30721865594387054
MLP,CrossEntropyLoss,Adam,0.001,200,16,[18],1,ReLU,0.27616599338964376,1.7071003317832947
MLP,CrossEntropyLoss,Adam,0.001,200,16,[20],1,ReLU,0.9015791406536908,0.29884888231754303
MLP,CrossEntropyLoss,Adam,0.01,200,16,[2],1,ReLU,0.6430407638633859,0.8607466816902161
MLP,CrossEntropyLoss,Adam,0.01,200,16,[4],1,ReLU,0.9074550128534704,0.26050157099962234
